Country Code,IMF Country Code,Country,Indicator Type,Series Name,19701,19702,19703,19704,19711,19712,19713,19714,19721,19722,19723,19724,19731,19732,19733,19734,19741,19742,19743,19744,19751,19752,19753,19754,19761,19762,19763,19764,19771,19772,19773,19774,19781,19782,19783,19784,19791,19792,19793,19794,19801,19802,19803,19804,19811,19812,19813,19814,19821,19822,19823,19824,19831,19832,19833,19834,19841,19842,19843,19844,19851,19852,19853,19854,19861,19862,19863,19864,19871,19872,19873,19874,19881,19882,19883,19884,19891,19892,19893,19894,19901,19902,19903,19904,19911,19912,19913,19914,19921,19922,19923,19924,19931,19932,19933,19934,19941,19942,19943,19944,19951,19952,19953,19954,19961,19962,19963,19964,19971,19972,19973,19974,19981,19982,19983,19984,19991,19992,19993,19994,20001,20002,20003,20004,20011,20012,20013,20014,20021,20022,20023,20024,20031,20032,20033,20034,20041,20042,20043,20044,20051,20052,20053,20054,20061,20062,20063,20064,20071,20072,20073,20074,20081,20082,20083,20084,20091,20092,20093,20094,20101,20102,20103,20104,20111,20112,20113,20114,20121,20122,20123,20124,20131,20132,20133,20134,20141,20142,20143,20144,20151,20152,20153,20154,20161,20162,20163,20164,20171,20172,20173,20174,20181,20182,20183,20184,20191,20192,20193,20194,20201,20202,20203,20204,20211,20212,20213,20214
AUT,122,Austria,index,Headline Consumer Price Index,24.88,25.12,25.48,25.72,25.96,26.22,26.75,27.02,27.45,27.81,28.42,29.01,29.62,29.97,30.38,31.22,32.14,32.92,33.42,34.24,35.14,35.72,36.37,36.69,37.76,38.42,38.94,39.33,40.16,40.61,41.06,41.12,41.72,42.08,42.42,42.55,43.21,43.44,43.96,44.42,45.49,46.24,47.02,47.35,48.66,49.39,50.12,50.60,51.59,52.32,52.70,52.95,53.61,53.70,54.34,54.92,56.67,56.95,57.44,57.77,58.62,59.01,59.17,59.34,60.03,59.88,60.13,60.12,60.21,60.69,61.49,61.13,61.49,61.75,62.67,62.28,62.89,63.36,64.30,64.02,64.82,65.28,66.41,66.36,67.02,67.54,68.73,68.35,69.72,70.29,71.42,71.14,72.42,72.90,73.88,73.63,74.66,75.04,76.12,75.66,76.50,76.94,77.72,77.08,77.80,78.17,79.21,78.80,79.28,79.49,79.51,79.80,80.12,80.30,80.21,80.38,80.49,80.59,80.59,81.17,81.76,82.30,82.89,83.46,84.03,84.83,85.05,85.25,85.69,86.35,86.51,86.76,87.20,87.37,87.61,87.81,88.38,89.10,89.51,90.20,90.95,91.31,91.50,91.65,91.98,92.81,92.93,92.96,93.51,94.57,94.72,95.91,96.61,97.98,98.26,98.04,97.68,98.26,98.29,98.65,99.05,100.18,100.05,100.72,101.89,103.49,103.59,104.16,104.53,105.80,106.03,107.06,107.13,108.06,107.96,108.73,108.83,109.96,109.76,110.26,109.76,111.09,110.79,111.12,110.83,111.71,111.56,112.60,113.08,113.89,113.96,115.07,115.11,116.10,116.40,117.50,117.10,118.06,118.02,119.05,119.29,119.29,119.69,120.49,120.89,122.28,123.44,125.39
AZE,912,Azerbaijan,index,Headline Consumer Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.03,0.04,0.07,0.18,0.29,0.45,0.97,2.44,5.01,7.51,18.35,37.16,42.47,43.57,47.27,51.08,50.90,50.57,51.68,53.56,53.83,51.71,52.63,53.35,53.46,52.53,50.75,48.26,48.10,47.61,48.22,49.08,48.98,48.43,49.16,49.85,49.89,49.17,49.77,50.65,51.33,50.74,51.46,52.00,52.15,51.63,52.97,54.93,55.44,54.29,58.09,61.02,61.89,59.93,61.32,64.36,65.91,65.94,68.29,75.05,76.02,76.47,81.01,87.46,94.13,94.97,96.30,94.76,93.61,94.13,95.82,98.36,99.30,99.45,102.90,107.27,107.86,107.07,109.21,110.58,109.24,107.07,109.12,111.85,112.28,110.26,112.18,114.06,113.57,111.87,113.27,117.31,118.39,116.44,118.79,130.00,130.49,131.09,137.97,147.14,149.50,149.27,152.17,153.01,152.62,152.03,153.96,156.26,157.09,156.30,157.92,160.90,161.72,160.51,161.75,167.09,169.25,171.83,179.60
BDI,618,Burundi,index,Headline Consumer Price Index,1.67,1.66,1.66,1.67,1.71,1.72,1.72,1.77,1.74,1.79,1.83,1.83,1.83,1.87,1.95,1.98,2.00,2.12,2.31,2.40,2.44,2.54,2.60,2.64,2.69,2.73,2.76,2.73,2.78,2.79,3.01,3.09,3.31,3.49,3.60,4.05,4.74,4.93,5.03,5.02,4.97,5.02,5.10,5.13,5.38,5.65,5.86,5.79,5.82,6.13,6.05,6.02,6.46,6.57,6.52,6.42,6.96,7.19,7.59,7.95,7.93,7.95,7.45,7.50,7.90,7.71,7.85,7.88,8.18,8.43,8.52,8.43,8.57,8.80,8.85,8.86,9.48,9.79,9.99,9.90,10.22,10.30,10.53,10.86,11.08,11.18,11.47,11.94,11.44,11.63,11.59,11.85,12.40,12.70,12.45,13.46,13.71,14.30,15.20,15.37,16.30,17.35,17.97,18.26,19.96,20.74,22.80,24.85,26.52,28.62,29.24,31.46,33.15,33.35,31.82,32.00,31.52,32.70,34.02,36.59,40.56,41.33,42.36,43.52,45.39,46.60,45.65,45.73,44.55,44.88,44.70,46.73,48.84,49.78,49.84,51.67,51.83,53.38,53.96,57.32,61.75,61.97,62.29,59.16,61.16,64.33,62.66,63.75,66.04,65.66,68.55,72.84,77.85,83.76,87.01,91.13,93.08,92.37,93.82,96.34,98.19,100.33,100.57,100.91,103.26,107.96,111.22,115.93,126.70,131.30,128.87,131.12,136.76,139.81,140.67,141.85,143.87,145.18,147.44,147.24,148.31,155.98,155.46,156.33,156.85,160.78,164.56,168.15,185.28,189.32,188.05,192.08,186.44,186.88,182.00,178.17,179.76,181.62,181.40,185.67,191.69,196.68,193.45,199.96,204.34,210.97,213.21,218.96
BEL,124,Belgium,index,Headline Consumer Price Index,19.08,19.25,19.38,19.47,19.74,20.00,20.26,20.51,20.78,21.00,21.37,21.76,22.21,22.51,22.82,23.27,24.09,25.10,26.16,26.98,27.76,28.49,29.15,29.99,30.59,31.19,31.77,32.30,32.95,33.48,33.98,34.38,34.80,34.97,35.34,35.70,36.14,36.41,37.02,37.54,38.43,38.72,39.43,40.31,41.20,41.53,42.62,43.50,44.34,45.38,46.49,47.38,48.19,48.83,50.02,50.62,51.57,52.31,52.92,53.39,54.34,55.07,55.44,55.57,55.69,55.77,55.87,55.94,56.28,56.66,56.99,56.81,56.83,57.23,57.58,57.73,58.29,64.03,59.45,59.81,60.31,60.76,61.43,62.16,62.55,62.73,63.45,63.79,64.06,64.44,64.92,65.23,65.89,66.15,66.78,66.96,67.48,67.85,68.47,68.30,68.70,68.84,69.31,69.24,70.05,70.17,70.66,70.95,71.40,71.24,71.92,71.86,71.91,72.41,72.47,72.34,72.67,73.08,73.13,73.49,74.11,74.78,75.34,75.59,75.73,76.98,77.24,77.27,77.80,78.01,78.22,78.24,79.03,79.09,79.54,79.59,80.07,80.87,81.31,81.63,82.18,83.07,83.86,83.78,84.02,84.74,85.11,92.33,85.49,85.96,86.24,87.34,88.76,90.31,91.06,90.39,90.20,90.04,89.95,90.14,91.09,92.00,92.29,92.84,94.17,95.20,95.65,96.21,97.52,97.82,98.18,98.54,98.74,99.05,99.29,99.33,99.73,99.47,99.37,99.20,99.25,99.95,100.18,100.62,101.02,102.09,102.28,102.50,103.68,104.04,104.22,104.63,105.27,105.92,106.57,107.37,107.54,107.93,107.81,107.95,108.66,108.52,108.69,108.55,109.24,110.08,111.54,114.16
BEN,638,Benin,index,Headline Consumer Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.39,39.83,39.38,39.06,40.64,39.67,39.71,39.30,40.47,40.00,40.00,50.63,55.00,55.69,60.02,61.92,63.42,63.63,64.38,64.79,66.23,67.34,67.45,67.80,69.30,68.46,69.46,71.73,74.01,72.37,72.73,72.68,73.88,73.21,72.02,72.90,76.22,76.75,78.07,77.37,79.58,79.40,79.71,79.56,81.26,81.79,81.32,82.05,82.58,81.72,82.38,82.30,82.74,82.76,83.82,85.46,87.11,88.46,88.37,89.65,91.56,90.05,91.36,91.82,91.56,90.78,93.17,94.10,95.70,98.85,99.24,96.80,97.55,98.65,98.36,98.20,100.44,99.69,101.67,101.64,102.65,103.00,103.52,108.30,109.57,109.60,111.06,111.09,111.59,108.81,108.92,109.96,110.87,108.81,108.35,109.04,109.39,110.15,110.36,109.00,111.85,107.54,107.06,111.09,111.05,110.26,110.76,111.16,113.11,112.10,110.55,111.17,110.74,109.88,111.05,113.40,114.15,114.83,113.84,112.33,116.72,117.52,
BFA,748,Burkina Faso,index,Headline Consumer Price Index,14.85,15.25,15.45,14.54,14.57,15.51,15.68,15.57,14.31,15.13,15.64,14.45,15.01,15.71,16.66,16.68,16.83,18.22,17.44,17.14,19.25,22.19,21.65,19.62,18.75,18.84,19.05,19.12,21.78,26.94,25.22,24.53,25.57,27.50,26.08,27.48,31.05,30.93,30.41,30.22,34.35,34.46,33.94,34.82,33.67,37.49,39.19,37.62,39.05,40.87,42.24,43.65,43.66,45.25,45.21,45.20,45.21,45.63,48.07,49.11,50.12,50.29,51.50,49.09,48.76,49.91,49.33,47.75,47.22,47.19,47.75,48.34,48.70,49.87,49.84,50.21,47.91,49.02,50.17,50.56,49.02,48.54,49.25,49.85,49.93,49.92,51.53,49.53,48.86,49.52,49.48,49.06,48.59,49.24,49.81,50.36,56.14,62.52,64.25,64.95,65.00,66.55,67.18,67.61,68.47,69.91,72.51,71.69,70.90,72.64,72.54,73.06,73.15,77.65,77.54,75.50,73.71,75.82,75.78,75.26,73.74,75.10,75.07,75.75,77.21,78.94,79.76,78.75,78.50,80.91,81.73,80.37,80.54,82.81,82.27,82.44,79.86,81.33,81.94,83.61,83.05,87.29,88.91,88.46,87.64,89.26,90.36,88.55,86.61,87.95,89.63,90.81,92.80,97.84,101.12,101.07,100.14,99.98,102.14,100.81,99.42,100.05,100.65,99.88,100.38,102.01,103.84,104.80,103.74,105.90,108.73,108.36,106.31,107.73,107.90,107.07,106.02,106.80,107.92,107.16,105.82,107.30,108.96,108.93,106.50,107.84,109.31,109.25,107.98,109.72,111.31,110.32,110.25,112.50,113.86,111.31,108.20,109.19,108.25,107.79,107.93,109.95,111.84,111.89,110.51,113.75,114.96,118.52
BGD,513,Bangladesh,index,Headline Consumer Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.65,34.47,34.56,36.03,36.89,37.31,37.97,38.36,39.93,40.99,42.04,42.76,43.62,42.75,43.22,43.66,43.80,44.33,45.14,46.51,46.47,47.43,48.31,50.05,51.79,51.60,52.08,52.57,53.63,53.37,53.40,53.70,54.41,54.29,54.43,54.90,55.42,55.78,55.94,57.08,57.62,57.76,58.19,60.95,62.24,62.89,63.35,64.72,66.34,66.79,67.75,69.60,71.27,70.90,72.86,74.31,75.98,75.79,79.06,81.69,84.29,83.78,85.69,90.17,89.75,88.50,89.38,94.00,96.46,96.41,97.09,101.13,105.37,108.20,108.57,113.45,115.36,116.23,115.01,119.17,122.87,124.82,124.36,128.05,131.69,134.15,133.44,136.93,139.99,142.40,141.79,145.49,148.55,150.63,149.63,153.40,156.46,158.59,158.19,162.39,165.73,167.73,167.02,171.27,174.64,176.92,176.33,180.78,184.68,186.66,186.52,191.13,195.31,196.49,196.77,201.65,206.85
BGR,918,Bulgaria,index,Headline Consumer Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.09,0.11,0.09,0.15,0.18,0.20,0.23,0.28,0.31,0.36,0.43,0.49,0.53,0.60,0.68,0.94,1.07,1.32,1.50,1.58,1.64,1.79,1.93,2.32,3.91,6.27,30.42,42.05,45.97,48.68,50.40,49.72,48.53,49.66,50.49,49.30,51.01,52.62,54.79,54.41,56.37,58.84,59.67,59.65,59.89,61.71,64.54,63.89,62.67,63.82,64.93,64.58,64.59,66.81,69.08,68.93,68.96,69.98,71.72,72.31,72.25,74.62,77.48,78.30,77.07,79.18,81.53,81.96,85.69,89.06,92.36,94.23,96.12,97.30,97.89,98.13,97.09,97.36,98.77,99.79,99.84,101.60,103.82,104.53,103.77,104.76,105.91,106.25,107.88,109.16,109.69,108.58,107.22,107.53,107.08,106.59,106.36,106.84,106.57,107.20,106.32,106.35,105.85,105.21,105.95,106.02,107.61,107.60,107.62,108.92,109.76,110.38,111.41,112.35,113.36,114.06,114.44,115.80,117.46,115.84,115.74,116.29,117.45,118.58,120.16,124.48
BHR,419,Bahrain,index,Headline Consumer Price Index,19.92,19.73,20.31,20.27,21.25,20.77,21.36,21.50,23.03,21.71,21.92,22.53,24.01,24.20,25.28,28.48,30.17,30.19,33.55,32.93,34.68,36.58,37.85,39.24,42.25,44.03,46.06,48.15,50.71,51.19,53.13,57.47,60.12,60.08,62.23,63.60,63.94,62.66,61.93,62.93,63.36,65.28,65.61,66.95,69.99,70.03,75.23,75.57,78.95,78.82,79.09,79.80,81.40,81.16,80.86,82.66,83.54,82.96,80.58,80.04,80.58,79.27,79.84,78.81,78.67,78.43,77.12,76.98,76.95,77.06,75.89,75.86,76.43,77.20,76.54,76.52,77.85,77.69,77.50,78.21,78.92,78.18,78.29,78.75,79.60,79.76,78.56,78.62,79.63,78.81,78.64,78.92,80.69,81.18,81.26,80.88,81.40,81.02,81.89,82.35,83.93,83.89,83.86,83.81,83.04,83.86,83.53,83.56,84.50,86.38,85.84,85.38,85.62,85.57,85.35,84.80,84.37,84.04,84.20,83.85,83.82,83.74,83.36,83.17,83.17,83.17,83.55,,,,,,,,,,,,,,,,88.21,87.36,,,,,91.30,91.75,92.93,93.38,93.80,94.84,96.04,97.67,98.09,97.79,98.13,99.02,99.77,100.00,100.01,100.23,99.79,98.17,99.42,101.02,101.41,101.84,103.05,103.08,104.45,105.15,106.30,107.00,107.64,107.63,109.24,109.58,110.09,109.92,110.84,111.23,113.22,113.87,114.02,113.34,113.96,114.88,116.01,115.90,117.17,118.01,118.10,117.09,118.56,118.66,118.91,118.96,117.90,114.86,115.84,115.50,114.84,114.90,115.64,115.89
BHS,313,Bahamas,index,Headline Consumer Price Index,17.48,17.63,17.94,18.15,18.30,18.49,18.58,19.10,19.75,19.94,19.82,20.05,20.23,20.62,21.18,21.89,22.69,23.33,23.94,24.93,25.65,26.09,26.32,26.66,26.95,27.18,27.49,27.56,27.64,28.01,28.33,28.67,29.07,29.57,30.28,30.62,31.25,32.04,33.09,34.03,34.91,35.84,37.20,38.24,39.22,40.40,41.11,41.70,42.22,42.79,43.45,43.74,44.29,44.72,44.99,45.22,45.87,46.52,46.55,47.32,47.89,48.54,48.88,49.45,50.14,50.96,51.55,52.70,53.56,54.01,54.49,55.10,55.68,56.00,57.13,57.92,58.98,59.48,59.98,60.50,61.38,61.71,62.57,64.45,65.54,66.42,66.96,68.97,70.06,70.84,70.98,71.39,71.52,72.99,73.20,73.28,73.40,73.54,73.71,74.41,74.91,75.21,75.49,75.54,76.07,76.35,76.47,76.42,76.47,76.72,76.77,77.00,77.20,77.66,77.81,78.41,78.33,78.44,78.66,79.54,79.82,79.97,80.02,80.22,80.88,81.58,81.71,82.41,82.87,82.97,83.65,84.20,85.48,85.86,86.14,86.29,86.44,86.59,87.00,87.12,87.44,88.04,88.44,88.75,88.93,90.19,90.87,91.10,91.66,92.18,92.75,93.52,93.99,96.48,98.02,98.23,97.95,98.38,98.97,99.40,99.38,99.80,100.03,100.80,101.86,103.18,103.75,104.01,104.41,105.60,105.63,105.30,105.96,106.51,106.35,106.47,107.59,107.75,107.71,107.29,109.57,109.63,110.07,109.15,108.34,109.15,109.59,109.88,110.72,110.61,110.73,111.46,111.83,112.46,114.88,114.41,115.68,116.28,116.83,116.09,116.59,115.76,115.95,116.75,117.99,118.78,120.33,
