Country Code,IMF Country Code,Country,Indicator Type,Series Name,19701,19702,19703,19704,19711,19712,19713,19714,19721,19722,19723,19724,19731,19732,19733,19734,19741,19742,19743,19744,19751,19752,19753,19754,19761,19762,19763,19764,19771,19772,19773,19774,19781,19782,19783,19784,19791,19792,19793,19794,19801,19802,19803,19804,19811,19812,19813,19814,19821,19822,19823,19824,19831,19832,19833,19834,19841,19842,19843,19844,19851,19852,19853,19854,19861,19862,19863,19864,19871,19872,19873,19874,19881,19882,19883,19884,19891,19892,19893,19894,19901,19902,19903,19904,19911,19912,19913,19914,19921,19922,19923,19924,19931,19932,19933,19934,19941,19942,19943,19944,19951,19952,19953,19954,19961,19962,19963,19964,19971,19972,19973,19974,19981,19982,19983,19984,19991,19992,19993,19994,20001,20002,20003,20004,20011,20012,20013,20014,20021,20022,20023,20024,20031,20032,20033,20034,20041,20042,20043,20044,20051,20052,20053,20054,20061,20062,20063,20064,20071,20072,20073,20074,20081,20082,20083,20084,20091,20092,20093,20094,20101,20102,20103,20104,20111,20112,20113,20114,20121,20122,20123,20124,20131,20132,20133,20134,20141,20142,20143,20144,20151,20152,20153,20154,20161,20162,20163,20164,20171,20172,20173,20174,20181,20182,20183,20184,20191,20192,20193,20194,20201,20202,20203,20204,20211,20212,20213,20214
BEN,638,Benin,index,Energy Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.33,102.17,99.60,100.27,100.50,97.30,99.13,102.63,103.77,103.37,103.93,107.60,97.77,100.41,102.41,
BFA,748,Burkina Faso,index,Energy Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.53,99.07,97.47,96.43,97.17,98.10,98.77,98.13,100.60,101.40,91.93,96.27,98.71,98.92,99.84,98.22,99.06
BGD,513,Bangladesh,index,Energy Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.45,118.27,125.96,123.51,122.65,123.21,126.28,128.36,128.96,130.59,131.67,132.30,133.23,134.21,136.55,139.55,147.95,149.40,152.16,154.90,157.39,158.00,158.95,160.85,166.68,167.40,169.71,171.05,173.08,173.34,174.36,176.36,190.59,189.69,190.37,190.73,197.12,197.81,199.25,199.53,200.70,201.51,202.75,204.84,209.72,210.60,214.82,216.18,225.33,226.47,227.72,229.16,229.61,227.33,228.61,232.92
BGR,918,Bulgaria,index,Energy Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.20,98.04,104.47,114.30,119.81,148.64,317.63,477.26,1610.03,3381.66,3644.05,3804.89,3911.19,3993.61,4312.98,4630.92,5114.30,5152.49,5610.20,5654.35,5974.95,6020.45,6172.04,6313.53,6418.54,6481.11,6512.47,6886.83,7119.10,7164.34,7877.25,8008.60,8073.29,8060.68,8753.70,8773.02,8756.91,8774.36,9315.79,9381.48,9434.58,9470.12,9528.29,9776.57,9915.32,9941.51,10004.79,10113.76,10250.98,10372.81,10806.88,10936.78,11145.07,11275.92,12387.05,12656.21,12815.67,12725.46,12513.05,12463.75,12556.44,12596.43,12752.58,12865.74,12859.32,12849.43,13033.25,13163.49,13322.31,13487.45,14381.24,14540.66,14324.47,13877.33,13654.50,13528.28,13358.54,13349.16,13469.65,14085.69,14091.72,14003.60,13967.82,14050.25,14067.95,13974.97,14019.73,14073.96,14226.88,14370.24,14533.33,14797.46,14924.23,14954.88,15227.35,15485.89,15631.10,15598.26,15818.81,15906.29,15994.46,15637.85,15925.60,16013.66,16064.78,16124.39,16740.28,17693.45
BHR,419,Bahrain,index,Energy Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.51,84.85,85.65,87.84,88.70,88.69,88.70,88.70,88.70,88.27,87.38,87.41,87.41,83.28,75.01,75.01,73.72,71.77,73.63,74.96,76.68,78.01,80.90,81.95,82.06,82.06,83.49,86.35,86.84,88.38,88.38,88.60,89.03,90.00,91.70,91.70,91.69,92.64,94.55,95.54,95.09,93.82,96.07,96.21,96.29,97.72,100.04,98.65,96.97,96.00,94.70,96.90,95.24,94.60,94.73,95.00,93.68
BIH,963,Bosnia and Herzegovina,index,Energy Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.00,74.53,74.70,84.10,87.03,81.00,83.47,92.27,92.67,85.63,85.97,94.00,95.63,89.10,88.40,96.07,97.03,90.13,94.20,99.40,100.03,95.43,95.43,101.03,101.37,96.07,96.40,101.30,101.20,95.70,95.67,101.47,102.63,97.53,97.43,102.37,101.97,97.43,97.63,103.00,103.17,98.83,98.90,104.60,105.37,100.87,101.77,108.57,108.40,103.83,104.33,109.73,109.33,103.30,103.33,108.65,108.80,104.34,104.42,112.50
BLZ,339,Belize,index,Energy Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.66,59.34,59.82,59.74,59.49,59.59,59.87,60.02,60.28,60.35,60.65,60.83,62.01,63.99,65.04,65.14,66.07,67.78,69.01,70.11,72.15,74.96,75.30,76.27,77.13,76.54,76.32,76.70,76.95,76.49,77.18,77.31,77.60,77.45,77.43,77.99,78.21,78.78,78.92,79.43,80.65,80.64,80.68,79.93,77.25,79.72,80.33,81.16,82.06,81.60,81.62,84.90,86.35,86.45,86.71,87.79,88.00,90.64,90.58,92.54,94.16,95.28,96.36,93.57,93.40,95.89,96.13,99.10,98.83,99.82,100.54,99.16,95.00,94.28,96.13,97.50,98.86,98.64,98.10,98.86,100.00,100.06,100.07,100.36,100.86,100.67,100.11,100.08,100.60,100.92,101.01,101.29,102.84,102.38,102.65,102.47,102.34,101.94,102.51,102.91,102.40,103.53,103.00,102.96,103.29,103.79,104.32,103.86,103.81,103.89,105.47,106.07,105.21,104.69,105.13,105.03,105.35,105.32,105.97,105.87,,,,
BOL,218,Bolivia,index,Energy Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.83,70.15,70.32,70.78,71.22,71.59,71.94,72.28,72.76,73.38,74.48,75.33,76.52,78.03,79.00,79.64,80.56,81.42,82.74,83.53,84.21,84.89,85.97,87.79,89.32,90.23,90.96,92.41,93.56,94.75,95.52,96.11,97.01,97.81,99.07,100.24,101.31,102.83,104.36,104.70,104.84,104.88,104.93,105.06,105.42,105.53,105.37,105.01,105.21,105.11,104.95,105.38,105.35,105.26,105.23
BRA,223,Brazil,index,Energy Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.90,34.19,34.42,34.56,35.17,35.56,36.21,36.91,38.29,39.03,40.53,41.61,42.78,43.64,45.34,47.37,48.79,49.68,50.57,51.48,52.49,53.11,53.98,55.11,55.64,56.51,57.01,57.83,58.17,58.47,58.70,59.19,59.01,59.42,59.86,60.46,61.41,62.39,63.04,64.03,65.35,66.03,66.53,67.24,68.15,69.08,70.12,71.55,72.58,73.79,74.94,76.40,77.46,78.68,77.89,78.55,79.96,81.41,82.84,84.45,86.71,88.58,93.61,99.22,102.35,104.81,105.94,106.51,107.71,108.73,109.20,110.21,112.61,115.04,114.48,116.49,121.06,121.07,121.36,122.83,125.76,125.75,125.78,125.40,126.79,129.32,,,,
BRB,316,Barbados,index,Energy Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.52,170.30,171.16,168.79,158.12,158.47,153.67,151.54,143.10,147.87,150.17,143.47,147.53,149.97,150.40,156.83,158.86,159.32,162.83,160.03,162.47,165.02,162.76,162.21,164.17,,158.48,159.95,,,168.29,171.83
